code.int32(),name.string(),market.string(),code_of_industry_33.int32(),industry_33.string(),code_of_industry_17.int32(),industry_17.string(),code_of_group.int32(),group.string()
9505,北陸電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9506,東北電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9507,四国電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9508,九州電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9509,北海道電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9511,沖縄電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
9513,電源開発,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9514,エフオン,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
9517,イーレックス,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
9519,レノバ,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
9531,東京瓦斯,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9532,大阪瓦斯,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9533,東邦瓦斯,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,4,TOPIX Mid400
9534,北海道瓦斯,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
9535,広島ガス,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
9536,西部ガスホールディングス,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
9537,北陸瓦斯,市場第二部（内国株）,4050,電気・ガス業,11,電力・ガス,,
9539,京葉瓦斯,市場第二部（内国株）,4050,電気・ガス業,11,電力・ガス,,
9543,静岡ガス,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
9551,メタウォーター,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス,6,TOPIX Small 1
9600,アイネット,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
9601,松竹,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
9602,東宝,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
9603,エイチ・アイ・エス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9605,東映,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9610,ウィルソン・ラーニング　ワールドワイド,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9612,ラックランド,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9613,エヌ・ティ・ティ・データ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
9616,共立メンテナンス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9619,イチネンホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9621,建設技術研究所,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9622,スペース,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9625,セレスポ,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9627,アインホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
9628,燦ホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9629,ピー・シー・エー,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
9631,東急レクリエーション,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9632,スバル興業,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9633,東京テアトル,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9635,武蔵野興業,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
